student_id,attention_score,confusion_score,boredom_score,cognitive_overload_score,lstm_prediction,gru_prediction,cnn_prediction,ensemble_prediction,risk_category
307,20.999187,79.00082,23.333333333333332,86.66666666666667,0.8647707,0.95365477,0.5515991,0.7900081,High Risk
309,99.605354,0.39465088,6.0,31.0,0.005059182,0.006758106,2.22388e-05,0.0039465087,Low Risk
312,53.505527,46.49447,12.0,74.0,0.48678377,0.5127045,0.39534587,0.4649447,Moderate Risk
314,76.8812,23.118793,0.0,63.63636363636363,0.2796034,0.16697052,0.24698994,0.23118794,Low Risk
317,98.374664,1.6253326,2.0,35.0,0.024216618,0.012235402,0.012307956,0.016253326,Low Risk
318,91.8731,8.126901,0.0,32.5,0.13792664,0.10587679,3.58383e-06,0.081269,Low Risk
319,68.657936,31.342066,20.0,55.00000000000001,0.41760164,0.41091347,0.111746855,0.31342065,Moderate Risk
320,19.644445,80.35555,23.333333333333332,70.0,0.9390054,0.9281086,0.5435527,0.80355555,High Risk
323,94.600266,5.3997355,10.0,48.00000000000001,0.090065345,0.07192672,0.0,0.053997356,Low Risk
326,63.5108,36.489197,26.0,63.99999999999999,0.73234206,0.36223543,9.832727e-05,0.36489198,Moderate Risk
327,93.677864,6.3221326,6.0,46.0,0.11388577,0.07577821,0.0,0.06322133,Low Risk
331,95.81702,4.1829853,8.0,46.0,0.021898245,0.062491868,0.04109945,0.041829854,Low Risk
332,99.05112,0.9488809,0.0,26.66666666666667,0.014093227,0.011544005,0.0028291945,0.009488809,Low Risk
334,36.825554,63.174446,17.5,71.24999999999999,0.58567417,0.4797005,0.8298588,0.63174444,Moderate Risk
337,95.82074,4.1792617,0.0,31.999999999999996,0.052384462,0.07299338,1.5574203e-16,0.041792616,Low Risk
339,85.65088,14.349119,19.51219512195122,63.41463414634146,0.25390643,0.17656717,8.7961626e-13,0.1434912,Low Risk
340,81.10058,18.899424,15.0,42.5,0.24163722,0.26853082,0.05681475,0.18899424,Low Risk
343,98.11436,1.8856479,6.666666666666667,48.333333333333336,0.035031427,0.01779051,0.003747501,0.018856479,Low Risk
344,99.06798,0.93202406,0.0,30.000000000000004,0.013848989,0.00863979,0.005471941,0.0093202405,Low Risk
345,43.23867,56.76133,67.3913043478261,110.86956521739131,0.79892313,0.9039161,7.5729326e-07,0.5676133,Moderate Risk
346,84.56926,15.430738,7.6923076923076925,51.92307692307692,0.21987085,0.21881393,0.02423737,0.15430738,Low Risk
347,89.471924,10.528075,9.67741935483871,48.38709677419355,0.16556211,0.15028013,0.0,0.10528075,Low Risk
348,92.62833,7.371675,7.5,48.75,0.13172366,0.089414395,1.2192711e-05,0.07371675,Low Risk
349,38.04515,61.95485,20.0,58.333333333333336,0.6912652,0.78436106,0.38301915,0.6195485,Moderate Risk
350,91.89429,8.105712,14.000000000000002,69.0,0.0793957,0.16377567,0.0,0.081057124,Low Risk
351,96.552315,3.4476836,6.0,49.0,0.03127037,0.07216013,1.0700239e-10,0.034476835,Low Risk
352,93.97841,6.0215907,8.0,53.0,0.09540629,0.08523207,9.351035e-06,0.060215905,Low Risk
354,36.175365,63.824635,18.0,49.0,0.5828843,0.7310393,0.6008156,0.63824636,Moderate Risk
356,88.57759,11.422411,2.0,22.000000000000004,0.24350731,0.099165,0.0,0.114224106,Low Risk
357,87.92367,12.076328,2.0,46.0,0.21306077,0.1492291,0.0,0.12076328,Low Risk
358,93.85456,6.145433,12.0,44.00000000000001,0.069790006,0.11297856,0.0015944253,0.06145433,Low Risk
359,96.986435,3.0135646,4.0,49.00000000000001,0.060740627,0.029666316,0.0,0.030135646,Low Risk
360,82.579285,17.420713,10.0,48.0,0.10736656,0.39378443,0.021470409,0.17420714,Low Risk
366,87.87934,12.120661,36.36363636363637,97.72727272727273,0.21188073,0.15173909,0.0,0.121206604,Low Risk
367,20.866352,79.133644,13.333333333333334,65.0,0.9538678,0.95571285,0.46442875,0.7913365,High Risk
368,93.302635,6.6973605,12.0,38.0,0.09047804,0.1089871,0.0014556589,0.066973604,Low Risk
369,93.955215,6.044781,10.0,60.00000000000001,0.060207933,0.10139628,0.019739227,0.060447812,Low Risk
370,98.98075,1.0192441,2.0,28.000000000000004,0.013782902,0.016791124,3.2974642e-06,0.010192441,Low Risk
371,16.66615,83.33385,56.666666666666664,103.33333333333331,0.9681843,0.97558063,0.5562505,0.8333385,High Risk
375,85.093544,14.906456,8.0,29.000000000000004,0.23396626,0.21317944,4.797058e-05,0.14906456,Low Risk
376,77.466385,22.533615,18.0,50.0,0.24380448,0.43220395,3.301318e-09,0.22533615,Low Risk
381,90.2125,9.7874975,0.0,49.0,0.22239375,0.071231194,0.0,0.09787498,Low Risk
383,95.37253,4.6274705,0.0,60.0,0.024850711,0.081231594,0.032741815,0.046274707,Low Risk
385,48.611237,51.388763,0.0,64.99999999999999,0.18265198,0.81727743,0.54173356,0.51388764,Moderate Risk
388,88.51576,11.484233,0.0,42.85714285714286,0.16925861,0.17526841,5.2806175e-12,0.11484233,Low Risk
391,87.72317,12.276834,27.27272727272727,72.72727272727273,0.1744371,0.09887631,0.094991595,0.122768335,Low Risk
392,82.96604,17.033957,54.0,102.0,0.2866236,0.22439511,2.482723e-10,0.17033957,Low Risk
393,78.71005,21.289951,14.000000000000002,62.0,0.21777342,0.37658158,0.04434358,0.21289952,Low Risk
394,55.53062,44.469383,0.0,70.0,0.2939873,0.5053799,0.53471434,0.44469383,Moderate Risk
395,80.56493,19.435066,6.0,41.0,0.18201146,0.31562832,0.08541221,0.19435066,Low Risk
